ÀÌ¸§,ÆÀ,WAR,ÃâÀå_x,¿ÏÅõ,¿ÏºÀ,¼±¹ß,½Â,ÆÐ,¼¼ÀÌºê,È¦µå,ÀÌ´×_x,½ÇÁ¡,ÀÚÃ¥,Å¸ÀÚ,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,º¼³Ý,°íÀÇ»ç±¸,»ç±¸,»ïÁø,º¸Å©,ÆøÅõ,ERA_x,FIP,WHIP_x,ERA+,FIP+,WAR_dup,WPA,ÃâÀå_y,ÀÌ´×_y,ERA_y,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,PFR,BABIP,LOB%,Å¸À²,Ãâ·çÀ²,ÀåÅ¸À²,OPS,WHIP_y,WHIP+,Åõ±¸,IP/G,P/G,P/IP,P/PA,CYP,Á÷±¸±¸¼Ó_dup,ÃâÀå,ÀÌ´×,Á÷±¸±¸¼Ó,½½¶ó±¸¼Ó,Ä¿ºê±¸¼Ó,Ã¾Á²±¸¼Ó,½ºÇÃ±¸¼Ó,½ÌÄ¿±¸¼Ó,³ÊÅ¬±¸¼Ó,±âÅ¸±¸¼Ó,Á÷±¸±¸»çÀ²,½½¶ó±¸»çÀ²,Ä¿ºê±¸»çÀ²,Ã¾Á²±¸»çÀ²,½ºÇÃ±¸»çÀ²,½ÌÄ¿±¸»çÀ²,³ÊÅ¬±¸»çÀ²,±âÅ¸±¸»çÀ²,½ºÀ®IZ,½ºÀ®OZ,½ºÀ®All,ÄÁÅÃIZ,ÄÁÅÃOZ,ÄÁÅÃAll,Zone%
¾ËÄ­Å¸¶ó,20µÎ,8.31,31,1,0,31,20,2,0,0,198.2,58,56,795,174,38,3,12,30,0,9,182,1,3,2.54,3.10,1.03,182.6,149.7,8.31,4.35,31,198.2,2.54,8.25,1.36,6.07,0.54,22.9,3.8,19.1,1.07,.289,79.0,.232,.269,.339,.607,1.03,1.07,3144,6.4,101.4,15.8,3.96,81.5,151.6,31,198.2,151.6,138.6,127.5,137.8,137.0,150.5,-1,-1,51.1,22.0,1.8,1.4,14.4,9.3,0.0,0.0,67.9,31.8,49.7,85.2,65.4,78.8,49.7
¾çÇöÁ¾,15K,8.14,32,1,1,31,15,6,0,1,184.1,52,50,756,150,27,2,18,78,0,7,157,0,6,2.44,4.57,1.24,202.1,108.5,8.14,3.94,32,184.1,2.44,7.67,3.81,2.01,0.88,20.8,10.3,10.4,1.28,.277,87.2,.232,.319,.364,.683,1.24,1.28,3040,5.8,95.0,16.5,4.02,72.9,141.0,32,184.1,141.0,125.5,116.4,123.6,-1,-1,-1,-1,54.2,20.7,8.5,12.8,0.0,2.1,0.0,1.7,65.7,27.3,45.5,86.4,62.5,78.8,47.3
¾È¿ìÁø,22Å°,7.92,30,1,0,30,15,8,0,0,196.0,51,46,766,131,36,4,4,55,1,4,224,1,7,2.11,2.21,0.95,189.3,179.1,7.92,5.65,30,196.0,2.11,10.29,2.53,4.07,0.18,29.2,7.2,22.1,1.42,.268,75.4,.188,.250,.268,.518,0.95,0.97,3003,6.5,100.1,15.3,3.92,89.4,153.4,30,196.0,153.4,142.2,128.7,134.0,139.0,-1,-1,-1,43.3,29.6,16.2,10.8,0.1,0.0,0.0,0.0,68.4,36.8,50.0,83.0,54.1,70.5,41.5
½ºÆ®·¹ÀÏ¸®,20·Ô,7.53,31,0,0,31,15,4,0,0,194.2,61,54,777,148,27,2,10,51,0,7,205,0,4,2.50,3.01,1.02,195.1,159.0,7.53,3.84,31,194.2,2.50,9.48,2.36,4.02,0.46,26.4,6.6,19.8,1.32,.277,75.5,.209,.267,.295,.562,1.02,1.06,3157,6.3,101.8,16.2,4.06,78.8,144.7,31,194.2,144.7,135.1,120.7,135.4,-1,143.9,-1,-1,41.6,36.4,5.0,12.7,0.0,4.3,0.0,0.0,66.8,36.1,49.8,83.2,59.8,73.8,44.8
¾çÇöÁ¾,19K,7.35,29,2,2,29,16,8,0,0,184.2,56,47,731,165,32,1,6,33,0,2,163,0,1,2.29,2.63,1.07,183.1,160.3,7.35,3.81,29,184.2,2.29,7.94,1.61,4.94,0.29,22.3,4.5,17.8,1.06,.303,75.2,.241,.275,.317,.592,1.07,1.08,2699,6.4,93.1,14.6,3.69,77.6,142.9,29,184.2,142.9,130.0,117.2,129.1,-1,-1,-1,-1,60.0,18.2,1.8,20.1,0.0,0.0,0.0,0.0,69.4,34.0,49.5,88.0,61.6,77.8,43.8
ºê·è½º,20K,7.16,23,1,1,23,11,4,0,0,151.1,43,42,586,131,18,0,4,24,0,3,130,1,3,2.50,2.72,1.02,192.2,177.8,7.16,3.39,23,151.1,2.50,7.73,1.43,5.42,0.24,22.2,4.1,18.1,1.02,.302,75.5,.238,.272,.292,.564,1.02,1.04,2218,6.6,96.4,14.7,3.79,57.7,149.8,23,151.1,149.8,138.9,128.6,136.2,-1,148.5,-1,-1,16.1,26.3,6.2,19.0,0.0,32.4,0.0,0.0,66.9,37.6,50.8,87.5,58.2,75.6,45.2
ºê·è½º,20K,7.16,23,1,1,23,11,4,0,0,151.1,43,42,586,131,18,0,4,24,0,3,130,1,3,2.50,2.72,1.02,192.2,177.8,7.16,3.39,23,151.1,2.50,7.73,1.43,5.42,0.24,22.2,4.1,18.1,1.02,.302,75.5,.238,.272,.292,.564,1.02,1.04,2218,6.6,96.4,14.7,3.79,57.7,149.8,23,151.1,149.8,138.9,128.6,136.2,-1,148.5,-1,-1,16.1,26.3,6.2,19.0,0.0,32.4,0.0,0.0,66.9,37.6,50.8,87.5,58.2,75.6,45.2
¹Ì¶õ´Ù,21µÎ,7.09,28,1,1,28,14,5,0,0,173.2,49,45,709,135,21,1,11,63,0,1,225,1,7,2.33,2.67,1.14,185.0,161.1,7.09,3.27,28,173.2,2.33,11.66,3.27,3.57,0.57,31.7,8.9,22.8,1.66,.305,81.7,.212,.282,.299,.581,1.14,1.15,2918,6.2,104.2,16.8,4.12,78.3,146.4,28,173.2,146.4,130.7,122.0,130.7,129.7,-1,-1,-1,60.7,8.6,0.0,3.5,27.1,0.0,0.0,0.0,62.3,30.2,45.0,81.8,52.6,71.3,46.3
¹êÇìÄË,14³Ø,6.92,31,0,0,31,20,6,0,0,187.0,81,73,788,193,33,5,9,53,0,3,178,2,6,3.51,3.48,1.32,150.1,152.1,6.92,1.24,31,187.0,3.51,8.57,2.55,3.36,0.43,22.6,6.7,15.9,1.24,.344,71.1,.270,.320,.367,.687,1.32,1.33,3266,6.0,105.4,17.5,4.15,58.3,140.9,31,187.0,140.9,129.6,117.2,128.8,127.2,132.0,-1,123.8,52.3,5.2,8.5,2.8,30.3,0.0,0.0,0.8,61.8,28.8,45.4,86.4,61.0,78.4,50.3
¸°µåºí·³,19µÎ,6.86,30,0,0,30,20,3,0,0,194.2,57,54,773,165,22,3,13,29,0,6,189,0,7,2.50,2.87,1.00,164.4,141.5,6.86,4.44,30,194.2,2.50,8.74,1.34,6.52,0.60,24.5,3.8,20.7,1.12,.284,78.7,.226,.259,.318,.577,1.00,1.03,2982,6.5,99.4,15.3,3.86,82.2,145.4,30,194.2,145.4,137.7,117.8,132.6,133.5,144.1,-1,-1,32.6,33.4,7.8,4.1,13.2,8.9,0.0,0.0,66.4,35.1,48.8,84.1,64.6,76.2,43.9
